Date,Trips over the past 24-hours (midnight to 11:59pm),Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm)
1/1/2019,22145,44131,297823,2429,49
1/2/2019,38249,58975,297908,1062,36
1/3/2019,42181,62500,297976,969,31
1/4/2019,44420,65739,298017,1173,33
1/5/2019,17636,24326,298048,462,8
1/6/2019,31764,50481,298094,1711,31
1/7/2019,36928,52310,298152,514,18
1/8/2019,41728,60469,298218,654,23
1/9/2019,44882,63480,298263,646,23
1/10/2019,39449,53225,298299,478,13
1/11/2019,33196,44226,298331,465,23
1/12/2019,25431,35133,298361,772,26
1/13/2019,23020,33018,298399,700,18
1/14/2019,35408,48021,298439,402,9
1/15/2019,39538,54751,298470,511,19
1/16/2019,40854,56553,298510,513,7
1/17/2019,39417,53430,298546,463,14
1/18/2019,34478,47215,298574,542,27
1/19/2019,23933,34580,298595,865,28
1/20/2019,14440,19131,298616,368,8
1/21/2019,10392,11911,298632,141,5
1/22/2019,28913,37788,298665,315,14
1/23/2019,42028,59442,298692,526,10
1/24/2019,20328,27931,298721,260,7
1/25/2019,39298,54567,298748,621,21
1/26/2019,26607,38634,298778,933,18
1/27/2019,30338,48280,298828,1510,19
1/28/2019,36172,49109,298878,448,13
1/29/2019,31353,42066,298919,341,12
1/30/2019,25489,33178,298947,263,8
1/31/2019,18879,22941,298975,186,8
